sample,tag,p_used,impulse,response,h,irf,lower,upper,excludes_zero
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,8,-1.3310998272877717e-4,-0.0041101920022973085,0.005359942506565321,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,9,1.363637210183111e-4,-0.004869476688353726,0.004148536318624883,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,10,3.043685514652261e-4,-0.0045987927719489535,0.003954802915417597,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,11,-8.764901059008546e-4,-0.00458132694804743,0.0033691611346540595,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,12,7.864948371730584e-4,-0.002818892725303564,0.004825407440846734,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,0,0,0,0,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,1,0.004042694817770054,-0.007961673401715521,0.013999900921382851,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,2,0.0026602156238362536,-0.008518455982655559,0.013285379526432385,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,3,0.0015451712338479583,-0.008760821472551143,0.009911373187039866,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,4,6.930410717232002e-4,-0.008358548653310226,0.008722845422222519,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,5,-0.006126888275012684,-0.013740810810333787,0.0026353142449729605,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,6,5.634688110306329e-4,-0.006646631657264849,0.00921789159476143,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,7,6.995518381524107e-4,-0.005895637564185258,0.0066719406742028935,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,8,0.004187780571498824,-0.0025215499431886982,0.009943708809327979,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,9,-0.001594768774403777,-0.006793270550256853,0.004744812926198188,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,10,0.0010875016037514274,-0.004369794198878325,0.005396139271772633,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,11,-0.0022334104591628305,-0.006992142504745381,0.0021837190312012957,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,ga,gw,12,0.0017695862011675913,-0.003070863821588971,0.005670245985186613,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,0,0,0,0,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,1,0.004559233997501513,-0.0013032052274287403,0.008317273287755523,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,2,-5.762407625200767e-4,-0.006370868793277763,0.0057724847155189,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,3,-0.005925112387963242,-0.010568897785212094,0.0017290946894209173,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,4,0.005516263852290597,-0.0027616510843443084,0.01110098852242341,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,5,-0.0013066733505540885,-0.009406967326493425,0.006596318515649019,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,6,0.005909139562769693,-0.004070624204101958,0.012886666585065376,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,7,-0.013202998233630341,-0.01863316171504655,-3.3103215126642233e-4,TRUE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,8,0.00996082862417795,-0.0020555624924753525,0.017111246557716068,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,9,-0.005798350174338872,-0.01417032227082143,0.004824515719486089,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,10,0.008176616042043753,-0.003790401553561514,0.01539196582566244,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,11,-0.013192592578643875,-0.019177270646575085,3.493720243836983e-4,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,ga,12,0.010030332474055251,-0.0021006853508789562,0.016844183443502168,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,0,0,0,0,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,1,0.00690346800878798,-0.0035830052850192007,0.013229195762154818,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,2,0.011848477127253995,7.855325115224311e-4,0.016195877726559633,TRUE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,3,-3.665216578462311e-4,-0.00862511212803159,0.006679027222775641,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,4,-0.0056799063953874105,-0.011421585721579702,0.0026773966298546804,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,5,0.007029349791139218,-0.002339296187040472,0.01189703366952231,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,6,0.0019881068669864795,-0.005466322817246183,0.007490897985515635,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,7,0.0019475596445850056,-0.005650492729484432,0.007530324725952989,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,8,0.002154672450397791,-0.004255163771710826,0.007739942179328245,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,9,-0.0015238274271041363,-0.007938318789334053,0.0038129065625391316,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,10,-0.0013588269710839665,-0.006538666379037096,0.005443791934771894,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,11,8.641847957494224e-5,-0.0055367128213803934,0.005383278993666144,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,v,gw,12,0.0013133794308696994,-0.004351203825031947,0.006808937618788589,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,0,0,0,0,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,1,0.0014723319284456274,-0.008142910636575906,0.009036439665658619,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,2,-0.004036688038156064,-0.01223809566496093,0.005531472671953316,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,3,0.002636232862848008,-0.0066935134728691,0.010888504221322298,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,4,0.006638782800670668,-0.0031543596275086633,0.013064879435625638,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,5,-0.0065856935054119745,-0.01367368281411548,0.00284731528766779,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,6,-6.427933330421811e-4,-0.007371464750540515,0.0069369806409455516,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,7,-0.0022675076377626675,-0.009919921101265623,0.005867435107201769,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,8,0.004804796476018603,-0.0037648696420926105,0.01019638726730888,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,9,-0.0015404415106756203,-0.007226773132913103,0.006301823896413074,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,10,0.003952266227512897,-0.0029145119113219925,0.009339211729477064,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,11,-0.005194598053179914,-0.009448053893512704,0.001647394523861786,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,6,ga,gw,12,0.00370826412287855,-0.00342132510129421,0.007946535745462398,FALSE
