h,irf,lower,upper,impulse,response,model,model_label,dummy,p_used,wage_col,ci
0,0,0,0,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
7,2.388759542646438e-4,-0.004085800923079885,0.0045119452516307395,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
8,0.004285575138113782,-2.989131696203911e-4,0.007539610814774893,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
9,5.303543992386542e-4,-0.0033736885372237235,0.003357189228687149,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
10,0.001745748607957201,-0.0018277104003191229,0.003951698427499008,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
11,-7.443487530949511e-4,-0.003520230708838942,0.0019493520022194949,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
12,0.0023379342275505707,-7.289265772201798e-4,0.0043434720509524126,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
0,0,0,0,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
1,0.004277910594423442,-0.005122547328386848,0.01252057037028831,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
2,0.010589614347943114,-7.371877633055401e-4,0.017146893263146168,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
3,0.01096991414279329,-0.0017579046241136334,0.019367856567794113,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
4,0.011108202284909365,-0.0016172921539418955,0.018476968182894987,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
5,-0.0068543233878044126,-0.01841839056246425,0.00487327344624096,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
6,4.747804008057097e-4,-0.009866405336016884,0.009719585094580737,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
7,-0.0011878220700787506,-0.012630768197060199,0.007559889103199416,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
8,0.001119882134276015,-0.01036296715204681,0.010916163756982514,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
9,0.007334448759363697,-0.0034597141815463067,0.015298522842324094,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
10,0.00951994454669457,-0.002501445794950183,0.01748065589536546,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
11,5.181515525723356e-4,-0.009767361735978418,0.009680706941631126,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
12,0.0018581083616634525,-0.007802541517815687,0.01079015663274017,ga,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
0,0,0,0,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
