periodo,var_mensual,year,month,factor,indice_bruto,IPC
2003-03-01,1.1669446734826,2003,3,1.011669446734826,127.87090631451774,61.58784729158688
2003-04-01,-0.095977182868,2003,4,0.99904022817132,127.74817942092929,61.528737010767365
2003-05-01,-0.385911404621,2003,5,0.99614088595379,127.25518462734824,61.29129059752356
2003-06-01,-1.88226876e-4,2003,6,0.99999811773124,127.25494509888966,61.29117523084201
2003-07-01,-0.087133773707,2003,7,0.99912866226293,127.14406306299621,61.237769916914
2003-08-01,0.1658115161221,2003,8,1.001658115161221,127.3548825616202,61.33930919165259
2003-09-01,0.18967496216,2003,9,1.0018967496216,127.59644288692789,61.45565450315108
2003-10-01,-0.153957864193,2003,10,0.99846042135807,127.39999812867293,61.3610386900522
2003-11-01,-0.309698594247,2003,11,0.99690301405753,127.00544212539772,61.17100441581375
2003-12-01,-0.317933955258,2003,12,0.99682066044742,126.60164869985553,60.976521022003496
2004-01-01,-0.185240175131,2004,1,0.99814759824869,126.36713158408519,60.86356800767355
2004-02-01,0.012208483368,2004,2,1.00012208483368,126.38255909432725,60.87099852625094
2004-03-01,0.4174313327622,2004,3,1.004174313327622,126.91011949513369,61.12509314666473
2004-04-01,0.3624352400225,2004,4,1.003624352400225,127.37008649133872,61.346632024724826
2004-05-01,0.5303388351789,2004,5,1.005303388351789,128.04557952440325,61.67197703842624
2004-06-01,0.4317722604483,2004,6,1.004317722604483,128.5984448175199,61.93825952774821
2004-07-01,0.231284977389,2004,7,1.00231284977389,128.8958737015387,62.0815134172921
2004-08-01,0.3809688018831,2004,8,1.003809688018831,129.3869267672562,62.31802461514885
2004-09-01,0.0578945321682,2004,9,1.000578945321682,129.46183472319493,62.35410334395627
2004-10-01,0.2899472201232,2004,10,1.002899472201232,129.83720571409532,62.53489733323481
2004-11-01,0.2478443424014,2004,11,1.002478443424014,130.15899988278977,62.68988653830176
2004-12-01,-0.378223756893,2004,12,0.99621776243107,129.66670762349872,62.45277849424463
2005-01-01,-0.315076316967,2005,1,0.99684923683033,129.25815853678623,62.256004579921395
2005-02-01,-0.091642274952,2005,2,0.99908357725048,129.13970341974206,62.198951761030145
2005-03-01,0.6358732859852,2005,3,1.006358732859852,129.9608682953887,62.594458279441355
2005-04-01,0.8981232654849,2005,4,1.008981232654849,131.1280770895758,63.156633672153276
2005-05-01,0.2697603539258,2005,5,1.002697603539258,131.48180865442876,63.32700523067489
2005-06-01,0.4088601449957,2005,6,1.004088601449957,132.01938536793622,63.585924116082474
2005-07-01,0.6165628834706,2005,7,1.006165628834706,132.83336789710094,63.977971323294014
2005-08-01,0.2919539124609,2005,8,1.002919539124609,133.22118011173012,64.16475751368549
2005-09-01,1.0285326833895,2005,9,1.010285326833895,134.59140349037645,64.82471301593137
2005-10-01,0.4741641891216,2005,10,1.004741641891216,135.22958772736396,65.13208859075375
2005-11-01,-0.239921875376,2005,11,0.99760078124624,134.90514236442525,64.97582246233526
2005-12-01,-0.358877380911,2005,12,0.99641122619089,134.42099832279354,64.74263893245706
2006-01-01,0.083201643514,2006,1,1.00083201643514,134.53283880262603,64.7965058721032
2006-02-01,-0.093897242824,2006,2,0.99906102757176,134.40651617629752,64.735663739643
2006-03-01,0.5861321010392,2006,3,1.005861321010392,135.19431591349522,65.11510024564183
2006-04-01,0.6473704460331,2006,4,1.006473704460331,136.0695239594358,65.53663616053693
2006-05-01,0.2420960565565,2006,5,1.002420960565565,136.39894291111682,65.69529777228139
2006-06-01,0.58839730828,2006,6,1.0058839730828,137.2015106197282,66.08184713604001
2006-07-01,0.548098779649,2006,7,1.00548098779649,137.95351042509492,66.44404093376217
2006-08-01,0.2530881342002,2006,8,1.002530881342002,138.30265439069348,66.61220291724865
2006-09-01,0.0200079756437,2006,9,1.000200079756437,138.33032595209852,66.62553067058404
2006-10-01,-0.262045014472,2006,10,0.99737954985528,137.9678382294382,66.45094178909628
2006-11-01,-0.173991227709,2006,11,0.99826008772291,137.72778629385922,66.33532297965323
2006-12-01,0.0940902245153,2006,12,1.000940902245153,137.85737467720307,66.39773803397773
2007-01-01,0.3096497044206,2007,1,1.003096497044206,138.28424963041303,66.60333843354192
2007-02-01,-0.17594280496,2007,2,0.9982405719504,138.04094844279538,66.48615465170494
2007-03-01,0.4279405359625,2007,3,1.004279405359625,138.63168161740919,66.77067585826228
2007-04-01,0.576826410788,2007,4,1.00576826410788,139.43134577069793,67.15582675127439
2007-05-01,0.6216193794996,2007,5,1.006216193794996,140.2980780371057,67.5732803848235
2007-06-01,0.9361041366919,2007,6,1.009361041366919,141.61141414931026,68.20583665780424
2007-07-01,1.1219212639717,2007,7,1.011219212639717,143.2001827168624,68.97105244253795
2007-08-01,1.0674680687725,2007,8,1.010674680687725,144.7287989417888,69.70729640405838
2007-09-01,1.1203323330719,2007,9,1.011203323330719,146.35024247160027,70.48824978418331
2007-10-01,0.3038817416786,2007,10,1.003038817416786,146.7949741373738,70.70245070530625
2007-11-01,0.7591712234438,2007,11,1.007591712234438,147.9093993384865,71.23920336533047
2007-12-01,0.4592395623642,2007,12,1.004592395623642,148.58865781670409,71.56636197109715
2008-01-01,-0.02935264936,2008,1,0.9997064735064,148.54504310898642,71.54535534780806
2008-02-01,0.3940443468351,2008,2,1.003940443468351,149.13037645386115,71.82727577597919
2008-03-01,0.8256028803065,2008,3,1.008256028803065,150.36160113727615,72.42028383363136
2008-04-01,0.3595441577275,2008,4,1.003595441577275,150.90221748963074,72.68066673316486
2008-05-01,1.1553754395886,2008,5,1.011553754395886,152.6457046483005,73.52040130592907
2008-06-01,1.4859077482092,2008,6,1.014859077482092,154.91387900097814,74.61284664544839
2008-07-01,1.1327727308762,2008,7,1.011327727308762,156.66870117864377,75.4580406259785
2008-08-01,0.9323221136626,2008,8,1.009323221136626,158.12935812492026,76.16155262527101
2008-09-01,1.0626226051374,2008,9,1.010626226051374,159.80967642971436,76.97086249989077
2008-10-01,0.8838488145885,2008,10,1.008838488145885,161.2221523604361,77.65116855567459
2008-11-01,-0.122534307813,2008,11,0.99877465692187,161.02459991199999,77.55601923377617
2008-12-01,-1.179012958922,2008,12,0.98820987041078,159.12609901198522,76.64162371658591
2009-01-01,-0.762647015904,2009,1,0.99237352984096,157.91252856634586,76.057118660371
