year,month,trimestre,file,ok,motivo,wage_var,weight_var,n_total,n_pos,na_rate,mean_raw,mean_adj,wmean_adj,p10,p50,p90,t_index,ajuste_unidad,wmean_corr,ipc_trimestre,deflator,salario_real,var_nominal,var_real
2013,3,T1,marzo2013.sav,TRUE,NA,ingsueld,factor_hd,10368,3701,0.6430362654320987,9791047.36476628,9791047.36476628,9791047.36476628,190000,320000,3200000,2013.1,1,9791047.36476628,82.81087404544091,0.8281087404544091,11823383.677116638,34.78286931805974,34.493048475072065
2013,6,T2,junio2013.sav,TRUE,NA,ingsueld,factor_hd,10195,3743,0.6328592447278077,7517261.190488913,7517261.190488913,7517261.190488913,193000,350000,1980000.0000000184,2013.2,1,7517261.190488913,82.82479575667003,0.8282479575667003,9076099.882665312,-23.22311484734242,-23.23601998781879
2013,9,T3,septiembre2013.sav,TRUE,NA,ingsueld,factor_hd,11598,3834,0.669425763062597,4915573.847157016,4915573.847157016,4915573.847157016,190000,350000,1400000,2013.3,1,4915573.847157016,83.675409188943,0.83675409188943,5874574.0173883345,-34.60951106266784,-35.27424672123384
2013,12,T4,diciembre2013.sav,TRUE,NA,ingsueld,factor_hd,11501,3962,0.6555082166768107,4743082.870015143,4743082.870015143,4743082.870015143,200000,350000,1200000,2013.4,1,4743082.870015143,84.53880393130193,0.8453880393130193,5610539.361154761,-3.509071016024612,-4.494532802753848
2014,3,T1,marzo2014.sav,TRUE,NA,ingsueld,factor_hd,11437,3781,0.6694063128442773,8357837.630256546,8357837.630256546,8357837.630256546,200000,350000,2050000,2014.1,1,8357837.630256546,85.64756928743773,0.8564756928743773,9758406.10514842,76.21108168050755,73.92991078027022
2014,6,T2,junio2014.sav,TRUE,NA,ingsueld,factor_hd,11502,3740,0.6748391584072335,9057835.20828877,9057835.20828877,9057835.20828877,200000,360000,3000000,2014.2,1,9057835.20828877,87.00927324213623,0.8700927324213623,10410195.224918056,8.375343109061317,6.679257993021626
2014,9,T3,septiembre2014.sav,TRUE,NA,ingsueld,factor_hd,11296,3768,0.6664305949008499,9067606.926751591,9067606.926751591,9067606.926751591,200000,380000,2500000,2014.3,1,9067606.926751591,87.77286920975826,0.8777286920975825,10330762.806764314,0.10788138929573865,-0.76302525012798
2014,12,T4,Diciembre2014.sav,TRUE,NA,ingsueld,factor_hd,11339,3826,0.6625804744686481,10214365.103502352,10214365.103502352,10214365.103502352,200000,380000,5100000,2014.4,0.001,10214.365103502352,89.1676892351341,0.8916768923513411,11455231.363646977,12.646756592056851,10.884661451586041
2015,3,T1,marzo2015.sav,TRUE,NA,ingsueld,factor_hd,11178,3671,0.6715870459831812,10321260.147098884,10321260.147098884,10321260.147098884,210000,400000,6000000,2015.1,0.001,10321.260147098885,89.39375082498395,0.8939375082498395,11545840.790712494,1.0465167684272414,0.7909873156561886
2015,6,T2,Junio2015.sav,TRUE,NA,ingsueld,factor_hd,11056,3436,0.6892185238784371,12711453.143189756,12711453.143189756,12711453.143189754,200000,400000,100000000,2015.2,0.001,12711.453143189754,90.6418155902956,0.906418155902956,14023828.914290506,23.157957090759986,21.462171257127615
2015,9,T3,Septiembre2015.sav,TRUE,NA,ingsueld,factor_hd,11432,3742,0.6726731980405878,7499375.130678781,7499375.130678781,7499375.130678781,220000,400000,2000000,2015.3,1,7499375.130678781,91.9406447165159,0.9194064471651592,8156757.170674505,-41.00300692453387,-41.83644694664922
2015,12,T4,Diciembre2015.sav,TRUE,NA,ingsueld,factor_hd,11258,3913,0.6524249422632795,8901180.46358293,8901180.46358293,8901180.46358293,220000,400000,3000000,2015.4,1,8901180.46358293,92.82453483188124,0.9282453483188124,9589254.04765482,18.69229513762527,17.562088057867964
2016,3,T1,Marzo2016.sav,TRUE,NA,ingsueld,factor_hd,11147,3611,0.676056338028169,8848679.506784825,8848679.506784825,8848679.506784825,240000,400000,2500000,2016.1,1,8848679.506784825,93.55073147163168,0.9355073147163168,9458696.225660296,-0.5898201593923402,-1.3615013362426653
2016,6,T2,Junio2016.sav,TRUE,NA,ingsueld,factor_hd,11118,3705,0.6667566109012413,7225050.675303644,7225050.675303644,7225050.675303644,230000,400000,2000000,2016.2,1,7225050.675303644,94.46207766159615,0.9446207766159616,7648625.622217295,-18.34882628799298,-19.136576122748284
2016,9,T3,Septiembre2016.sav,TRUE,NA,ingsueld,factor_hd,11202,3675,0.6719335832886985,7127389.747482994,7127389.747482994,7127389.747482993,240000,400000,2000000,2016.3,1,7127389.747482993,95.15304313508406,0.9515304313508406,7490448.558081943,-1.3516988628809345,-2.068045580318223
2017,3,T1,Marzo2017.sav,TRUE,NA,ingsueld,factor_hd,11156,3611,0.6763176765865901,8741993.704790916,8741993.704790916,8741993.704790916,250000,450000,3000000,2017.1,1,8741993.704790916,96.12738469730132,0.9612738469730132,9094176.162514841,22.653510113967236,21.410301292337564
2017,6,T2,Junio2017.sav,TRUE,NA,ingsueld,factor_hd,10773,3501,0.6750208855472013,6313991.817766353,6313991.817766353,6313991.817766353,250000,450000,2000000,2017.2,1,6313991.817766353,96.6356208002542,0.966356208002542,6533814.100307144,-27.774006353881664,-28.153864808130923
2017,9,T3,Septiembre2017.sav,TRUE,NA,ingsueld,factor_hd,11004,3760,0.6583060705198109,8136388.282180851,8136388.282180851,8136388.282180851,250000,430000,2800000,2017.3,1,8136388.282180851,96.73885984058631,0.9673885984058632,8410672.087296268,28.862825879606426,28.725304365499092
2017,12,T4,Diciembre2017.sav,TRUE,NA,ingsueld,factor_hd,11205,3666,0.6728246318607765,6645553.439989089,6645553.439989089,6645553.439989089,260000,440000,2000000,2017.4,1,6645553.439989089,97.37722485085186,0.9737722485085186,6824545.9348094715,-18.32305429003155,-18.858494731741228
2018,3,T1,Marzo2018.sav,TRUE,NA,ingsueld,factor_hd,11023,3569,0.6762224439807675,4186682.643037265,4186682.643037265,4186682.643037265,250000,450000,1800000,2018.1,1,4186682.643037265,98.04606084504982,0.9804606084504982,4270118.153603152,-37.00024112598004,-37.43000348458544
2018,6,T2,Junio2018.sav,TRUE,NA,ingsueld,factor_hd,10854,3542,0.6736686935691911,4568706.892151327,4568706.892151327,4568706.892151327,260200.0000000001,480000,1800000,2018.2,1,4568706.892151327,98.72249831117564,0.9872249831117564,4627827.466187753,9.124748200090927,8.37703547576929
2018,9,T3,Septiembre2018.sav,TRUE,NA,ingsueld,factor_hd,10913,3595,0.67057637679831394,6358029.6472879,6358029.6472879,6358029.6472879,265800.00000000006,480000,2000000,2018.3,1,6358029.6472879,99.45878501103364,0.9945878501103363,6392627.50553665,39.16475268331365,38.13452537379662
2018,12,T4,Diciembre2018.sav,TRUE,NA,ingsueld,factor_hd,11161,3649,0.6730579697159753,6500798.2425322,6500798.2425322,6500798.242532201,276000,480000,2100000,2018.4,1,6500798.242532201,100.06923213218228,1.0006923213218228,6496300.71503421,2.2454848933458615,1.6217620909050101
2019,3,T1,Marzo2019.sav,TRUE,NA,ingsueld,factor_hd,10856,3480,0.679439941046426,14699969.399137933,14699969.399137933,14699969.399137933,288000,500000,99999999,2019.1,0.001,14699.969399137932,100.30091487468133,1.0030091487468134,14655867.71317537,126.12560566734308,125.60328340801247
2019,6,T2,Junio2019.sav,TRUE,NA,ingsueld,factor_hd,10597,3439,0.6754741908087194,10957624.496946787,10957624.496946787,10957624.496946787,290000,500000,99999999,2019.2,0.001,10957.624496946788,101.318346289462,1.01318346289462,10815044.75570628,-25.458181582409367,-26.206725064912096
2019,9,T3,Septiembre2019.sav,TRUE,NA,ingsueld,factor_hd,10940,3410,0.6882998171846435,12534558.029618768,12534558.029618768,12534558.029618768,289600.0000000001,500000,99999999,2019.3,0.001,12534.558029618767,101.91285275793386,1.0191285275793387,12299290.708102524,14.391198868982723,13.72390023271166
2019,12,T4,Diciembre2019.sav,TRUE,NA,ingsueld,factor_hd,10940,3413,0.6880255941499086,12050360.568121888,12050360.568121888,12050360.568121888,300000,500000,99999999,2019.4,0.001,12050.360568121889,102.90408474104407,1.0290408474104409,11710283.997419892,-3.862900154538651,-4.7889486041224005
2020,3,T1,Marzo2020.sav,TRUE,NA,ingsueld,factor_hd,12989,3893,0.7002848564169681,9830216.205497043,9830216.205497043,9830216.205497043,280000,500000,4200000,2020.1,1,9830216.205497043,104.00873725111572,1.0400873725111572,9451336.940821856,-18.423883252904737,-19.290284139101544
2020,6,T2,Junio2020.sav,TRUE,NA,ingsueld,factor_hd,15141,4035,0.7335050525064395,14090814.165055765,14090814.165055765,14090814.16505576,275000,600000,99999999,2020.2,0.001,14090.81416505576,104.29081382708176,1.0429081382708176,13511078.922462797,43.34185403954998,42.9541556613674
2020,9,T3,Base_web_Septiembre2020.sav,TRUE,NA,ingsueld,factor_hd,15179,4190,0.7239607352262996,15643545.718138425,15643545.718138425,15643545.718138425,300000,600000,99999999,2020.3,0.001,15643.545718138424,104.64117086609603,1.0464117086609606,14949704.393270476,11.019459449925417,10.647746779244226
2020,12,T4,Base_web_Diciembre2020.sav,TRUE,NA,ingsueld,factor_hd,15282,4724,0.6908781573092527,14713817.30990686,14713817.30990686,14713817.30990686,280000,600000,99999999,2020.4,0.001,14713.81730990686,105.87368065554574,1.0587368065554574,13897521.29027937,-5.94320766521339,-7.0381532324126805
2021,3,T1,Base_web_Marzo2021.dta,TRUE,NA,ingsueld,factor_hd,15240,4405,0.7109580052493438,13267245.86538025,13267245.86538025,13267245.865380248,300000,600000,99999999,2021.1,0.001,13267.245865380248,107.07404092982824,1.0707404092982822,12390721.177764306,-9.83138103497202,-10.842222012417391
2021,6,T2,Base_web_Junio2021s.sav,TRUE,NA,ingsueld,factor_hd,15239,4298,0.7179604960955444,14438652.138901817,14438652.138901817,14438652.138901817,300000,600000,99999999,2021.2,0.001,14438.652138901814,108.03450209686142,1.080345020968614,13364852.763385193,8.829310057321349,7.861782794120242
2021,9,T3,Base_web_Septiembre2021.sav,TRUE,NA,ingsueld,factor_hd,14861,4469,0.6992799946167823,14207026.0628776,14207026.0628776,14207026.0628776,300000,600000,99999999,2021.3,0.001,14207.0260628776,109.7547590659271,1.097547590659271,12944337.160217145,-1.6042084385435862,-3.1464290001017248
2021,12,T4,Base_web_Diciembre2021s.sav,TRUE,NA,ingsueld,factor_hd,14632,4560,0.6883542919628212,12562140.890570177,12562140.890570177,12562140.890570177,320000,600000,99999999,2021.4,0.001,12562.140890570176,112.89696053641136,1.1289696053641136,11127085.114500185,-11.577969696314149,-14.038973361278506
2022,3,T1,Base_web_Marzo2022.sav,TRUE,NA,ingsueld,factor_hd,12630,3728,0.7048297703879651,14523507.104077252,14523507.104077252,14523507.104077252,320000,600000,99999999,2022.1,0.001,14523.507104077256,115.97150264487423,1.1597150264487426,12523341.314763216,15.613311700550847,12.548265658932634
2022,6,T2,Junio2022.dta,TRUE,NA,ingsueld,factor_hd,10350,3028,0.70743961352657,13954691.169088507,13954691.169088507,13954691.169088507,320000,600000,99999999,2022.2,0.001,13954.691169088508,120.4790654929775,1.2047906549297749,11582668.832953308,-3.91651913627018,-7.511353864491344
2022,9,T3,Base_web_Septiembre2022.sav,TRUE,NA,ingsueld,factor_hd,10441,3123,0.7008907192797624,10615970.442523217,10615970.442523217,10615970.442523217,370000,600000,8000000,2022.3,0.001,10615.970442523216,124.7339344192524,1.247339344192524,8510891.997394308,-23.925436156989267,-26.52045810737186
2022,12,T4,Diciembre2022.sav,TRUE,NA,ingsueld,factor_hd,10746,3437,0.6801600595570445,7002673.832121036,7002673.832121036,7002673.832121035,350000,550000,2500000,2022.4,1,7002673.832121035,127.54687241140287,1.2754687241140288,5490274.829737797,-34.03642304738151,-35.49119373834496
