year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,t_index,ipc_tri,media_pond_real,media_simple_real,masa_salarial_real
2012,T2,3694,881774256.1485218,2169.5969598293304,406423.06957227935,406423.06957227935,2012.2,NA,NA,NA,NA
2012,T3,3751,958585198.8623142,2234.6740273833275,428959.7440682485,428959.7440682485,2012.3,NA,NA,NA,NA
2012,T4,3633,989772475.517559,2169.6651930212975,456186.7327277732,456186.7327277732,2012.4,NA,NA,NA,NA
2013,T1,3518,918449166.1812024,2102.670855283737,436801.20636725414,436801.20636725414,2013.1,NA,NA,NA,NA
2013,T2,3566,1057331451.7364502,2170.5282592773438,487130.931015143,487130.931015143,2013.2,NA,NA,NA,NA
2013,T3,3775,1102517864.060825,2254.2283043265343,489088.821192053,489088.821192053,2013.3,NA,NA,NA,NA
2013,T4,3882,1141596539.0504897,2342.207413315773,487401.98351365275,487401.98351365275,2013.4,NA,NA,NA,NA
2014,T1,3617,1102085195.7641358,2213.3685343265533,497922.1393419961,497922.1393419961,2014.1,NA,NA,NA,NA
2014,T2,3540,1087184845.966339,2166.652979850769,501780.790960452,501780.790960452,2014.2,NA,NA,NA,NA
2014,T3,3565,1091982100.5221307,2218.510864675045,492213.99719495093,492213.99719495093,2014.3,NA,NA,NA,NA
2014,T4,3528,1174855016.4390883,2204.5392651557922,532925.4212018141,532925.4212018141,2014.4,NA,NA,NA,NA
2015,T1,3454,1201166463.7992382,2195.90745472908,547002.3161551824,547002.3161551824,2015.1,NA,NA,NA,NA
2015,T2,3084,1062613872.1484542,1978.2652180194855,537144.2931258107,537144.2931258107,2015.2,NA,NA,NA,NA
2015,T3,3593,1166426451.2718916,2229.6403499245644,523145.56081269134,523145.56081269134,2015.3,NA,NA,NA,NA
2015,T4,3632,1264506314.465745,2262.051354408264,559008.667951542,559008.6679515418,2015.4,NA,NA,NA,NA
2016,T1,3489,1165841333.359003,2195.649321913719,530977.9306391516,530977.9306391516,2016.1,NA,NA,NA,NA
2016,T2,3533,1253762397.5141644,2249.8543794751167,557263.798471554,557263.798471554,2016.2,NA,NA,NA,NA
2016,T3,3513,1323362554.5811534,2243.5420632362366,589854.1312268716,589854.1312268716,2016.3,NA,NA,NA,NA
2016,T4,3597,1351199086.8477345,2256.3415853977203,598845.0931331665,598845.0931331665,2016.4,NA,NA,NA,NA
2017,T1,3492,1361500237.7895908,2208.926005125046,616362.9902634594,616362.9902634594,2017.1,NA,NA,NA,NA
2017,T2,3406,1449924526.015063,2252.645842075348,643654.0085143864,643654.0085143864,2017.2,NA,NA,NA,NA
2017,T3,3570,1430930495.749714,2329.2940413951874,614319.3904761905,614319.3904761905,2017.3,NA,NA,NA,NA
2017,T4,3539,1437853013.2349885,2260.9809723496437,635942.1113308844,635942.1113308844,2017.4,NA,NA,NA,NA
2018,T1,3599,1592728087.6098595,2347.0899062752724,678596.96526813,678596.9652681301,2018.1,NA,NA,NA,NA
2018,T2,3488,1584976605.1656394,2331.0249004364014,679948.3801605504,679948.3801605505,2018.2,NA,NA,NA,NA
2018,T3,3470,1536524179.4047267,2285.2430415153503,672367.9501440922,672367.9501440922,2018.3,NA,NA,NA,NA
2018,T4,3510,1564944688.0091429,2268.491932153702,689861.2535612535,689861.2535612535,2018.4,NA,NA,NA,NA
2019,T1,3125,1364094637.0282173,2073.45113158226,657886.08,657886.08,2019.1,NA,NA,NA,NA
2019,T2,3156,1499802889.3808126,2168.0212483406067,691784.2205323194,691784.2205323194,2019.2,NA,NA,NA,NA
2019,T3,3161,1421748572.998176,2097.2822728157043,677900.4387851945,677900.4387851945,2019.3,NA,NA,NA,NA
2019,T4,3198,1473783206.2087317,2115.5343021154404,696648.220137586,696648.220137586,2019.4,NA,NA,NA,NA
2020,T1,3724,1481676099.8500865,2086.085047006607,710266.3920515574,710266.3920515574,2020.1,NA,NA,NA,NA
2020,T2,1572,1139185232,1572,724672.5394402036,724672.5394402036,2020.2,NA,NA,NA,NA
2020,T3,1671,1214186392,1671,726622.6163973669,726622.6163973669,2020.3,NA,NA,NA,NA
2020,T4,4321,1667761725.032133,2114.507839292288,788723.3587132607,788723.3587132609,2020.4,NA,NA,NA,NA
2021,T1,1548,1272944553,1548,822315.6027131783,822315.6027131783,2021.1,NA,NA,NA,NA
2021,T2,1596,1226882441,1596,768723.3339598997,768723.3339598997,2021.2,NA,NA,NA,NA
2021,T3,1661,1262490142,1661,760078.3515954245,760078.3515954245,2021.3,NA,NA,NA,NA
2021,T4,1867,1431333000,1867,766648.6341724691,766648.6341724691,2021.4,NA,NA,NA,NA
2022,T1,1729,1268829499,1729,733851.6477732793,733851.6477732793,2022.1,NA,NA,NA,NA
2022,T2,1562,1150379130,1562,736478.3162612036,736478.3162612036,2022.2,NA,NA,NA,NA
2022,T3,2159,1688115000,2159,781896.7114404817,781896.7114404817,2022.3,NA,NA,NA,NA
2022,T4,2198,1579976088,2198,718824.4258416742,718824.4258416742,2022.4,NA,NA,NA,NA
