year,month,trimestre,archivo,ingsueld,factor_hd,t_index
2008,NA,TNA,septiembre2008.sav,600000,0.5581409931182861,NA
2020,NA,TNA,Junio2020.sav,480000,1,NA
2015,NA,TNA,Septiembre2015.sav,80000,0.6205511689186096,NA
2018,NA,TNA,Marzo2018.sav,276000,0.652150571346283,NA
2017,NA,TNA,Diciembre2017.sav,99999999,0.6388756632804871,NA
2019,NA,TNA,Septiembre2019.sav,540000,0.6634869575500488,NA
2011,NA,TNA,septiembre2011.sav,0,0.5689879059791565,NA
2019,NA,TNA,Septiembre2019.sav,350000,0.6634869575500488,NA
2012,NA,TNA,junio2012.sav,260000,0.5873299837112427,NA
2018,NA,TNA,Marzo2018.sav,200000,0.652150571346283,NA
2020,NA,TNA,Marzo2020.sav,250000,0.5601732134819031,NA
2015,NA,TNA,Diciembre2015.sav,150000,0.622811496257782,NA
2017,NA,TNA,Diciembre2017.sav,210000,0.6388756632804871,NA
2017,NA,TNA,Junio2017.sav,300000,0.6613757610321045,NA
2012,NA,TNA,septiembre2012.sav,3500000,0.5957542061805725,NA
2017,NA,TNA,Septiembre2017.sav,600000,0.6524633169174194,NA
2014,NA,TNA,marzo2014.sav,250000,0.6119349002838135,NA
2009,NA,TNA,septiembre2009.sav,300000,0.5532302260398865,NA
2020,NA,TNA,Base_web_Septiembre2020.sav,99999999,1,NA
2021,NA,TNA,Base_web_Septiembre2021.sav,500000,1,NA
2010,NA,TNA,junio2010.sav,0,0.5534822344779968,NA
2013,NA,TNA,junio2013.sav,400000,0.608673095703125,NA
2008,NA,TNA,marzo2008.sav,450000,0.5564092397689819,NA
2014,NA,TNA,marzo2014.sav,200000,0.6119349002838135,NA
2013,NA,TNA,marzo2013.sav,450000,0.5976892709732056,NA
2013,NA,TNA,junio2013.sav,400000,0.608673095703125,NA
2011,NA,TNA,marzo2011.sav,99999999,0.5766535997390747,NA
2018,NA,TNA,Marzo2018.sav,600000,0.652150571346283,NA
2014,NA,TNA,Diciembre2014.sav,450000,0.6248694062232971,NA
2019,NA,TNA,Marzo2019.sav,600000,0.6635043621063232,NA
2011,NA,TNA,diciembre2011.sav,180000,0.5796495079994202,NA
2009,NA,TNA,marzo2009.sav,300000,0.5485936403274536,NA
2008,NA,TNA,junio2008.sav,140000,0.5607762336730957,NA
2015,NA,TNA,Junio2015.sav,1000000,0.6414608359336853,NA
2015,NA,TNA,Junio2015.sav,480000,0.6414608359336853,NA
2010,NA,TNA,marzo2010.sav,700000,0.5535104274749756,NA
2008,NA,TNA,diciembre2008.sav,520000,0.5353538990020752,NA
2021,NA,TNA,Base_web_Junio2021s.sav,500000,1,NA
2011,NA,TNA,septiembre2011.sav,400000,0.5689879059791565,NA
2018,NA,TNA,Junio2018.sav,400000,0.6682984232902527,NA
2022,NA,TNA,Diciembre2022.sav,500000,1,NA
2017,NA,TNA,Junio2017.sav,420000,0.6613757610321045,NA
2019,NA,TNA,Marzo2019.sav,550000,0.6635043621063232,NA
2008,NA,TNA,junio2008.sav,300000,0.5607762336730957,NA
2012,NA,TNA,diciembre2012.sav,700000,0.5972103476524353,NA
2008,NA,TNA,junio2008.sav,150000,0.5607762336730957,NA
2010,NA,TNA,diciembre2010.sav,800000,0.5622066259384155,NA
2016,NA,TNA,Junio2016.sav,340000,0.6368113160133362,NA
2013,NA,TNA,diciembre2013.sav,300000,0.6033506989479065,NA
2012,NA,TNA,septiembre2012.sav,4500000,0.5957542061805725,NA
