year,trimestre,n_obs,masa_salarial_real,suma_pesos,media_pond_real,media_simple_real,var_real,sd_real,t_index
2014,T2,3540,1247672755.5681202,2166.652979850769,575852.6017646145,575852.6017646146,547958010048.24866,740241.8591570249,2014.2
2014,T3,3565,1235885561.7352843,2218.510864675045,557078.8862989453,557078.8862989453,389384876808.7273,624007.1127869675,2014.3
2014,T4,3528,1321115844.45595,2204.5392651557922,599270.7253334352,599270.7253334352,515010572136.28827,717642.3706389474,2014.4
2015,T1,3454,1336522897.3607633,2195.90745472908,608642.6340429072,608642.6340429072,670799650062.2225,819023.5955466867,2015.1
2015,T2,3084,1167867838.356992,1978.2652180194855,590349.4777743642,590349.4777743642,518494800600.3629,720065.8307407475,2015.2
2015,T3,3593,1261543956.5288305,2229.6403499245644,565806.0308118807,565806.0308118807,419533410389.8994,647713.9881073277,2015.3
2015,T4,3632,1362280456.2048733,2262.051354408264,602232.3293191704,602232.3293191704,531692209902.2017,729172.2772446864,2015.4
2016,T1,3489,1241925980.483049,2195.649321913719,565630.3891919276,565630.3891919276,409163353022.5312,639658.7785863109,2016.1
2016,T2,3533,1322316998.0670042,2249.8543794751167,587734.4818981112,587734.4818981112,431824679186.5607,657133.6844102277,2016.2
2016,T3,3513,1388295895.570938,2243.5420632362366,618796.464002269,618796.464002269,697147307526.3219,834953.4762645892,2016.3
2016,T4,3597,1417286108.1588254,2256.3415853977203,628134.5507838981,628134.550783898,635037642927.9475,796892.491449096,2016.4
2017,T1,3492,1411631226.4044766,2208.926005125046,639057.7244911222,639057.7244911222,584045736497.4347,764228.8508669604,2017.1
2017,T2,3406,1503682205.7843373,2252.645842075348,667518.2479634725,667518.2479634725,636186807312.9465,797613.1940439217,2017.2
2017,T3,3570,1479665154.3766022,2329.2940413951874,635241.8922131105,635241.8922131106,608398029641.932,779998.7369489338,2017.3
2017,T4,3539,1474708382.4969358,2260.9809723496437,652242.7214256465,652242.7214256465,657264680460.4071,810718.6197814918,2017.4
2018,T1,3599,1622014700.4810123,2347.0899062752724,691074.805504608,691074.805504608,785639184004.4972,886362.8963378923,2018.1
2018,T2,3488,1602893365.979738,2331.0249004364014,687634.596129648,687634.596129648,537187561309.0996,732930.8025380701,2018.2
2018,T3,3470,1540516138.2148213,2285.2430415153503,674114.7922687914,674114.7922687914,626230651555.9001,791347.3646609939,2018.3
2018,T4,3510,1564944688.0091429,2268.491932153702,689861.2535612535,689861.2535612535,635132112690.3632,796951.7630888103,2018.4
2019,T1,3125,1355514013.9087973,2073.45113158226,653747.7509172827,653747.7509172825,465611183189.1776,682357.0789470698,2019.1
2019,T2,3156,1476843303.0478773,2168.0212483406067,681194.1092266721,681194.1092266721,503481635598.0023,709564.3984854387,2019.2
2019,T3,3161,1394081676.0589032,2097.2822728157043,664708.6537318032,664708.6537318032,504693351348.4528,710417.7301760231,2019.3
2019,T4,3198,1430839927.4662092,2115.5343021154404,676349.1974748095,676349.1974748095,538377569969.8304,733742.1685918224,2019.4
2020,T1,3724,1419326935.6768615,2086.085047006607,680378.2701541823,680378.2701541824,536846937283.92804,732698.3944870686,2020.1
2020,T2,1572,1093021186.1453016,1572,695306.0980568076,695306.0980568075,721148712695.1111,849204.7531044036,2020.2
2020,T3,1671,1154943475.3444216,1671,691169.0456878645,691169.0456878644,718938826319.6858,847902.6042651867,2020.3
2020,T4,4321,1572420251.9456804,2114.507839292288,743634.1557721343,743634.1557721343,815029468194.586,902789.8250393532,2020.4
2021,T1,1548,1185151168.285165,1548,765601.5298999774,765601.5298999775,856491564319.7556,925468.2946053612,2021.1
2021,T2,1596,1134022865.221029,1596,710540.6423690658,710540.6423690658,672064359528.5725,819795.3156298056,2021.2
2021,T3,1661,1139998575.635886,1661,686332.676481569,686332.676481569,632324889081.6123,795188.5871173028,2021.3
2021,T4,1867,1259187973.8078952,1867,674444.5494418292,674444.5494418293,552092232637.613,743029.0927262626,2021.4
2022,T1,1729,1079773994.473901,1729,624507.8047853679,624507.8047853678,506481960564.42694,711675.4601392597,2022.1
2022,T2,1562,945219820.8510404,1562,605134.3283297314,605134.3283297314,408198059768.69763,638903.7953938743,2022.2
2022,T3,2159,1340288272.2917519,2159,620791.2331133635,620791.2331133635,402651062970.7472,634547.9201531963,2022.3
2022,T4,2198,1232429079.76301,2198,560704.7678630619,560704.7678630619,293132453873.9687,541417.0794073351,2022.4
