year,trimestre,month,file,ok,motivo,n_total,n_usadas,masa_salarial,suma_pesos,salario_promedio,wage_var,weight_var,mult_unidades
2016,T3,9,Septiembre2016.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2017,T1,3,Marzo2017.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2017,T2,6,Junio2017.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2017,T3,9,Septiembre2017.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2017,T4,12,Diciembre2017.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2018,T1,3,Marzo2018.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2018,T2,6,Junio2018.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2018,T3,9,Septiembre2018.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2018,T4,12,Diciembre2018.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2019,T1,3,Marzo2019.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2019,T2,6,Junio2019.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2019,T3,9,Septiembre2019.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2019,T4,12,Diciembre2019.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2020,T1,3,Marzo2020.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2020,T2,6,Junio2020.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2020,T3,9,Base_web_Septiembre2020.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2020,T4,12,Base_web_Diciembre2020.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2021,T1,3,Base_web_Marzo2021.dta,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2021,T2,6,Base_web_Junio2021s.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2021,T3,9,Base_web_Septiembre2021.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2021,T4,12,Base_web_Diciembre2021s.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2022,T1,3,Base_web_Marzo2022.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2022,T2,6,Junio2022.dta,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2022,T3,9,Base_web_Septiembre2022.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2022,T4,12,Diciembre2022.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
