year,trimestre,n_obs,masa_salarial_real,suma_pesos,media_pond_real,media_simple_real,var_real,sd_real,t_index,cv_real,media_ajustada_cv
2012,T3,3751,1162929612.245651,2234.6740273833275,520402.34861787583,520402.34861787583,450057867888.8457,670863.5240411016,2012.3,1.289124704803566,-150461.17542322574
2012,T4,3633,1199814874.0994017,2169.6651930212975,552995.4012990539,552995.401299054,801708676468.2515,895381.8606986918,2012.4,1.619148836672656,-342386.4593996378
2013,T1,3518,1105834080.8102376,2102.670855283737,525918.7751765433,525918.7751765433,415577922210.9028,644653.3349102468,2013.1,1.2257659648941912,-118734.55973370351
2013,T2,3566,1271209804.7740436,2170.528259277344,585668.3963180836,585668.3963180836,533574463275.0415,730461.8150697828,2013.2,1.2472276456472138,-144793.41875169915
2013,T3,3775,1311874437.2452583,2254.2283043265343,581961.6561141483,581961.6561141483,550395925718.9945,741886.733753202,2013.3,1.274803461635083,-159925.0776390537
2013,T4,3882,1343363310.8224306,2342.207413315773,573545.8367970422,573545.8367970422,436030906475.19806,660326.363607571,2013.4,1.151305303330512,-86780.52681052883
2014,T1,3617,1277584366.6686854,2213.3685343265533,577212.6723837282,577212.6723837282,458158368005.1416,676873.9675930385,2014.1,1.172659575885153,-99661.29520931028
2014,T2,3540,1247672755.5681202,2166.652979850769,575852.6017646145,575852.6017646146,547958010048.24866,740241.8591570249,2014.2,1.2854710682710542,-164389.25739241042
2014,T3,3565,1235885561.7352843,2218.510864675045,557078.8862989453,557078.8862989453,389384876808.7273,624007.1127869675,2014.3,1.1201413805729958,-66928.22648802226
2014,T4,3528,1321115844.45595,2204.539265155792,599270.7253334352,599270.7253334352,515010572136.28827,717642.3706389474,2014.4,1.1975261602169036,-118371.64530551217
2015,T1,3454,1336522897.3607633,2195.90745472908,608642.6340429072,608642.6340429072,670799650062.2225,819023.5955466867,2015.1,1.3456559723828818,-210380.96150377957
2015,T2,3084,1167867838.356992,1978.2652180194857,590349.4777743642,590349.4777743642,518494800600.3629,720065.8307407475,2015.2,1.2197280726924973,-129716.3529663833
2015,T3,3593,1261543956.5288303,2229.6403499245644,565806.0308118807,565806.0308118807,419533410389.8994,647713.9881073277,2015.3,1.1447633161101456,-81907.95729544706
2015,T4,3632,1362280456.204873,2262.051354408264,602232.3293191704,602232.3293191704,531692209902.2017,729172.2772446864,2015.4,1.2107823538285014,-126939.94792551597
2016,T1,3489,1241925980.483049,2195.649321913719,565630.3891919276,565630.3891919276,409163353022.5312,639658.7785863109,2016.1,1.1308776734930066,-74028.38939438335
2016,T2,3533,1322316998.0670042,2249.8543794751167,587734.4818981112,587734.4818981112,431824679186.5607,657133.6844102277,2016.2,1.1180791746095773,-69399.2025121165
2016,T3,3513,1388295895.570938,2243.542063236237,618796.464002269,618796.464002269,697147307526.3219,834953.4762645892,2016.3,1.3493184347955933,-216157.0122623203
2016,T4,3597,1417286108.1588254,2256.3415853977203,628134.5507838981,628134.550783898,635037642927.9475,796892.491449096,2016.4,1.268665273156192,-168757.94066519797
2017,T1,3492,1411631226.4044766,2208.926005125046,639057.7244911222,639057.7244911222,584045736497.4347,764228.8508669604,2017.1,1.1958682628795563,-125171.12637583817
2017,T2,3406,1503682205.7843373,2252.645842075348,667518.2479634725,667518.2479634725,636186807312.9465,797613.1940439217,2017.2,1.194893467672764,-130094.94608044912
2017,T3,3570,1479665154.3766022,2329.2940413951874,635241.8922131105,635241.8922131106,608398029641.932,779998.7369489338,2017.3,1.2278767293377126,-144756.8447358234
2017,T4,3539,1474708382.4969358,2260.9809723496437,652242.7214256465,652242.7214256465,657264680460.4071,810718.6197814918,2017.4,1.2429707425626078,-158475.89835584542
2018,T1,3599,1622014700.4810123,2347.0899062752724,691074.805504608,691074.805504608,785639184004.4972,886362.8963378923,2018.1,1.2825860373982079,-195288.09083328437
2018,T2,3488,1602893365.979738,2331.024900436402,687634.596129648,687634.596129648,537187561309.0996,732930.8025380701,2018.2,1.0658724948735445,-45296.2064084221
2018,T3,3470,1540516138.214821,2285.2430415153503,674114.7922687914,674114.7922687914,626230651555.9001,791347.3646609939,2018.3,1.1739059485664842,-117232.57239220262
2018,T4,3510,1564944688.0091429,2268.491932153702,689861.2535612535,689861.2535612535,635132112690.3632,796951.7630888103,2018.4,1.1552348518991697,-107090.50952755679
2019,T1,3125,1355514013.9087973,2073.45113158226,653747.7509172827,653747.7509172825,465611183189.1776,682357.0789470698,2019.1,1.0437620289930558,-28609.328029787153
2019,T2,3156,1476843303.0478773,2168.0212483406067,681194.1092266721,681194.1092266721,503481635598.0023,709564.3984854387,2019.2,1.0416478781517562,-28370.289258766537
2019,T3,3161,1394081676.0589032,2097.2822728157043,664708.6537318032,664708.6537318032,504693351348.4528,710417.7301760231,2019.3,1.0687655805104994,-45709.07644421999
2019,T4,3198,1430839927.4662092,2115.5343021154404,676349.1974748095,676349.1974748095,538377569969.8304,733742.1685918224,2019.4,1.0848570107442916,-57392.97111701294
2020,T1,3724,1419326935.6768615,2086.085047006607,680378.2701541823,680378.2701541824,536846937283.928,732698.3944870686,2020.1,1.0768985821975618,-52320.124332886335
2020,T2,1572,1093021186.1453016,1572,695306.0980568076,695306.0980568075,721148712695.1111,849204.7531044036,2020.2,1.22133942946524,-153898.65504759602
2020,T3,1671,1154943475.3444216,1671,691169.0456878645,691169.0456878644,718938826319.6858,847902.6042651867,2020.3,1.2267658824641632,-156733.5585773221
2020,T4,4321,1572420251.9456804,2114.507839292288,743634.1557721343,743634.1557721343,815029468194.586,902789.8250393532,2020.4,1.2140241515694818,-159155.66926721894
2021,T1,1548,1185151168.285165,1548,765601.5298999774,765601.5298999775,856491564319.7556,925468.2946053612,2021.1,1.2088119713217784,-159866.76470538377
2021,T2,1596,1134022865.221029,1596,710540.6423690658,710540.6423690658,672064359528.5725,819795.3156298056,2021.2,1.1537627360716,-109254.67326073983
2021,T3,1661,1139998575.635886,1661,686332.676481569,686332.676481569,632324889081.6123,795188.5871173028,2021.3,1.1586051697170754,-108855.91063573385
2021,T4,1867,1259187973.8078952,1867,674444.5494418292,674444.5494418293,552092232637.613,743029.0927262626,2021.4,1.1016904107849845,-68584.54328443343
2022,T1,1729,1079773994.473901,1729,624507.8047853679,624507.8047853678,506481960564.42694,711675.4601392597,2022.1,1.1395781680964736,-87167.65535389181
2022,T2,1562,945219820.8510404,1562,605134.3283297314,605134.3283297314,408198059768.6976,638903.7953938743,2022.2,1.0558049105515996,-33769.467064142984
2022,T3,2159,1340288272.291752,2159,620791.2331133635,620791.2331133635,402651062970.7472,634547.9201531963,2022.3,1.0221599247960396,-13756.687039832801
2022,T4,2198,1232429079.76301,2198,560704.7678630619,560704.7678630619,293132453873.9687,541417.0794073351,2022.4,0.9656009908222553,19287.6884557267
