year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,mediana_pond,mediana_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mediana_pond_real,mediana_simple_real,mean_nominal,mean_real,median_nominal,median_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2010,3,3531,637941701.9604802,1942.2579805254936,328453.6391956953,328453.6391956953,240000,240000,NA,2010.3,sin_winsor,T3,77.42799130180777,0.7742799130180776,NA,NA,NA,424205.29536328895,424205.29536328895,309965.42201966763,309965.42201966763,328453.6391956953,424205.29536328895,240000,309965.42201966763,823916120.3005221,NA,442029.16663384245,195389784155.00925,1.0420170881065716,-17823.871270553525,FALSE,FALSE,TRUE
2010,4,3719,733346876.7477393,2090.8464418649673,350741.624092498,350741.624092498,240000,240000,NA,2010.4,sin_winsor,T4,77.75182675092067,0.7775182675092067,NA,NA,NA,451104.03028356476,451104.03028356476,308674.41966198967,308674.41966198967,350741.624092498,451104.03028356476,240000,308674.41966198967,943189256.6293378,NA,542197.1178825155,293977714640.10645,1.201933659386039,-91093.08759895079,FALSE,FALSE,TRUE
2011,1,3543,762456867.7842021,2043.0837038755417,373189.2464013548,373189.2464013548,250000,250000,NA,2011.1,sin_winsor,T1,78.36092612225225,0.7836092612225225,NA,NA,NA,476244.04772748053,476244.04772748053,319036.5560636313,319036.5560636313,373189.2464013548,476244.04772748053,250000,319036.5560636313,973006452.9797412,NA,551365.5396818559,304003958348.6643,1.1577373876121637,-75121.4919543754,FALSE,FALSE,TRUE
2011,2,3668,791486777.0012498,2066.4177277088165,383023.60959651036,383023.60959651036,250000,250000,NA,2011.2,sin_winsor,T2,79.32662992626858,0.7932662992626858,NA,NA,NA,482843.66794923454,482843.66794923454,315152.67979033844,315152.67979033844,383023.60959651036,482843.66794923454,250000,315152.67979033844,997756715.1622475,NA,602372.7953479111,362852984575.2563,1.2475524384659502,-119529.12739867657,FALSE,FALSE,TRUE
2011,3,3785,805173704.674083,2153.6192241311073,373870.0396301189,373870.0396301189,250000,250000,NA,2011.3,sin_winsor,T3,79.8409958257215,0.7984099582572151,NA,NA,NA,468268.2571322253,468268.2571322253,313122.3470029168,313122.3470029168,373870.0396301189,468268.2571322253,250000,313122.3470029168,1008471520.610329,NA,546320.6776870497,298466282868.4373,1.16668313379351,-78052.42055482444,FALSE,FALSE,TRUE
2011,4,3761,862588025.8440971,2180.0617995858192,395671.36399893643,395671.36399893643,250000,250000,NA,2011.4,sin_winsor,T4,80.87177048934181,0.8087177048934181,NA,NA,NA,489257.69969520136,489257.69969520136,309131.3550912649,309131.3550912649,395671.36399893643,489257.69969520136,250000,309131.3550912649,1066612021.2587391,NA,735082.7122570403,540346593859.16675,1.5024448520993814,-245825.01256183902,FALSE,FALSE,TRUE
2012,1,3826,879139513.0833361,2222.964267015457,395480.7219027705,395480.7219027705,255000,256000,NA,2012.1,sin_winsor,T1,81.61171574723825,0.8161171574723824,NA,NA,NA,484588.17252123955,484588.17252123955,312455.1391490985,313680.45342027146,395480.7219027705,484588.17252123955,255000,312455.1391490985,1077222191.7330372,NA,615030.5181107834,378262538207.61865,1.2691818599510423,-130442.34558954381,FALSE,FALSE,TRUE
2012,2,3694,881774256.1485218,2169.5969598293304,406423.06957227935,406423.06957227935,270000,270000,NA,2012.2,sin_winsor,T2,81.7832991991354,0.817832991991354,NA,NA,NA,496951.17897197284,496951.17897197284,330140.7532393293,330140.7532393293,406423.06957227935,496951.17897197284,270000,330140.7532393293,1078183767.0811937,NA,558037.2524757963,311405575150.73553,1.1229216794096157,-61086.07350382342,FALSE,FALSE,TRUE
2012,3,3751,958585198.8623142,2234.6740273833275,428959.7440682485,428959.7440682485,280000,280000,NA,2012.3,sin_winsor,T3,81.94919059540526,0.8194919059540525,NA,NA,NA,523445.98031002335,523445.98031002335,341675.12572808634,341675.12572808634,428959.7440682485,523445.98031002335,280000,341675.12572808634,1169731136.9370139,NA,670863.5240411017,450057867888.84576,1.2816289536577714,-147417.5437310783,FALSE,FALSE,TRUE
2012,4,3633,989772475.517559,2169.6651930212975,456186.7327277732,456186.7327277732,300000,300000,NA,2012.4,sin_winsor,T4,82.63280751928795,0.8263280751928795,NA,NA,NA,552064.9079014908,552064.9079014908,363051.92696009355,363051.92696009355,456186.7327277732,552064.9079014908,300000,363051.92696009355,1197796014.9623728,NA,895381.8606986919,801708676468.2517,1.62187787682832,-343316.9527972011,FALSE,FALSE,TRUE
2013,1,3518,918449166.1812024,2102.670855283737,436801.20636725414,436801.20636725414,300000,300000,NA,2013.1,sin_winsor,T1,82.81087404544091,0.8281087404544091,NA,NA,NA,527468.4169225985,527468.4169225985,362271.26383834647,362271.26383834647,436801.20636725414,527468.4169225985,300000,362271.26383834647,1109092467.345799,NA,644653.3349102468,415577922210.9028,1.2221648049969296,-117184.91798764825,FALSE,FALSE,TRUE
