year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mean_nominal,mean_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2020,2,1572,1139185232,1572,724672.5394402036,724672.5394402036,NA,2020.2,sin_winsor,T2,104.29081382708176,1.0429081382708176,NA,NA,NA,694857.4978441907,694857.4978441907,724672.5394402036,694857.4978441907,1092315986.6110678,NA,849204.7531044037,721148712695.1112,1.2221279265735472,-154347.2552602131,FALSE,FALSE,TRUE
2020,3,1671,1214186392,1671,726622.6163973669,726622.6163973669,NA,2020.3,sin_winsor,T3,104.64117086609605,1.0464117086609606,NA,NA,NA,694394.5775675509,694394.5775675509,726622.6163973669,694394.5775675509,1160333339.1153777,NA,847902.6042651867,718938826319.6858,1.2210674329217417,-153508.02669763574,FALSE,FALSE,TRUE
2020,4,4321,1667761725.032133,2114.507839292288,788723.3587132607,788723.3587132609,NA,2020.4,sin_winsor,T4,105.87368065554574,1.0587368065554574,NA,NA,NA,744966.4107544625,744966.4107544626,788723.3587132607,744966.4107544625,1575237315.5497494,NA,902789.8250393532,815029468194.586,1.2118530607642506,-157823.4142848908,FALSE,FALSE,TRUE
2021,1,1548,1272944553,1548,822315.6027131783,822315.6027131783,NA,2021.1,sin_winsor,T1,107.07404092982823,1.0707404092982822,NA,NA,NA,767987.8293302567,767987.8293302567,822315.6027131783,767987.8293302567,1188845159.8032372,NA,925468.2946053613,856491564319.7557,1.205055938728143,-157480.46527510465,FALSE,FALSE,TRUE
2021,2,1596,1226882441,1596,768723.3339598997,768723.3339598997,NA,2021.2,sin_winsor,T2,108.03450209686142,1.080345020968614,NA,NA,NA,711553.5491344043,711553.5491344043,768723.3339598997,711553.5491344043,1135639464.4185092,NA,819795.3156298057,672064359528.5726,1.1521203381348826,-108241.76649540136,FALSE,FALSE,TRUE
2021,3,1661,1262490142,1661,760078.3515954245,760078.3515954245,NA,2021.3,sin_winsor,T3,109.7547590659271,1.097547590659271,NA,NA,NA,692524.2769098178,692524.2769098178,760078.3515954245,692524.2769098178,1150282823.9472075,NA,795188.5871173028,632324889081.6123,1.1482465144263154,-102664.31020748496,FALSE,FALSE,TRUE
2021,4,1867,1431333000,1867,766648.6341724691,766648.6341724691,NA,2021.4,sin_winsor,T4,112.89696053641136,1.1289696053641136,NA,NA,NA,679069.3305912437,679069.3305912437,766648.6341724691,679069.3305912437,1267822440.213852,NA,743029.0927262626,552092232637.6129,1.0941873815436949,-63959.762135018944,FALSE,FALSE,TRUE
2022,1,1729,1268829499,1729,733851.6477732793,733851.6477732793,NA,2022.1,sin_winsor,T1,115.97150264487423,1.1597150264487424,NA,NA,NA,632786.1854308003,632786.1854308003,733851.6477732793,632786.1854308003,1094087314.6098537,NA,711675.4601392596,506481960564.4268,1.1246697170778965,-78889.27470845926,FALSE,FALSE,TRUE
2022,2,1562,1150379130,1562,736478.3162612036,736478.3162612036,NA,2022.2,sin_winsor,T2,120.4790654929775,1.2047906549297749,NA,NA,NA,611291.5245878394,611291.5245878394,736478.3162612036,611291.5245878394,954837361.406205,NA,638903.7953938743,408198059768.69763,1.0451703805719412,-27612.270806034874,FALSE,FALSE,TRUE
2022,3,2159,1688115000,2159,781896.7114404817,781896.7114404817,NA,2022.3,sin_winsor,T3,124.7339344192524,1.247339344192524,NA,NA,NA,626851.63831391,626851.63831391,781896.7114404817,626851.63831391,1353372687.1197317,NA,634547.9201531963,402651062970.74725,1.0122776768359218,-7696.281839286353,FALSE,FALSE,TRUE
