year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,mediana_pond,mediana_simple,p99_5,t_index,version
2017,T1,3492,1348216318.5147839,2208.926005125046,610349.244558992,610349.244558992,400000,400000,5000000,2017.1,winsor_p99_5
2017,T2,3406,1435506534.4245632,2252.645842075348,637253.5387551379,637253.5387551379,400000,400000,5000000,2017.2,winsor_p99_5
2017,T3,3570,1409059925.366642,2329.2940413951874,604930.0347338936,604930.0347338936,400000,400000,5000000,2017.3,winsor_p99_5
2017,T4,3539,1411659111.0404885,2260.9809723496437,624356.9177733823,624356.9177733823,400000,400000,5000000,2017.4,winsor_p99_5
2018,T1,3599,1558424967.557045,2347.0899062752724,663981.7943873297,663981.7943873298,420000,420000,5000000,2018.1,winsor_p99_5
2018,T2,3488,1576619557.4411383,2331.0249004364014,676363.2413990826,676363.2413990826,450000,450000,5000000,2018.2,winsor_p99_5
2018,T3,3470,1510444748.7292202,2285.2430415153503,660955.8463976945,660955.8463976945,450000,450000,5000000,2018.3,winsor_p99_5
2018,T4,3510,1546202162.0739698,2268.491932153702,681599.1452991453,681599.1452991453,450000,450000,5000000,2018.4,winsor_p99_5
2019,T1,3125,1353544917.6707268,2073.45113158226,652798.08,652798.08,450000,450000,4800000,2019.1,winsor_p99_5
2019,T2,3156,1494266054.3802977,2168.0212483406067,689230.3548795944,689230.3548795944,450000,450000,4800000,2019.2,winsor_p99_5
2019,T3,3161,1419890809.517036,2097.2822728157043,677014.6431509017,677014.6431509017,450000,450000,4800000,2019.3,winsor_p99_5
2019,T4,3198,1470898988.0857725,2115.5343021154404,695284.8680425265,695284.8680425265,450000,450000,4800000,2019.4,winsor_p99_5
2020,T1,3724,1477194714.1422312,2086.085047006607,708118.16433942,708118.16433942,480000,480000,5200000,2020.1,winsor_p99_5
2020,T2,1572,1124185232,1572,715130.5547073791,715130.5547073791,470000,470000,5200000,2020.2,winsor_p99_5
2020,T3,1671,1203186392,1671,720039.7318970676,720039.7318970676,450000,450000,5200000,2020.3,winsor_p99_5
2020,T4,4321,1637617387.4018612,2114.507839292288,774467.399444573,774467.399444573,500000,500000,5200000,2020.4,winsor_p99_5
2021,T1,1548,1249821552.9999988,1548,807378.2642118855,807378.2642118855,500000,500000,5428999.999999905,2021.1,winsor_p99_5
2021,T2,1596,1208985440.9999993,1596,757509.6748120296,757509.6748120297,500000,500000,5428999.999999905,2021.2,winsor_p99_5
2021,T3,1661,1248464141.9999995,1661,751634.040939193,751634.0409391929,500000,500000,5428999.999999905,2021.3,winsor_p99_5
2021,T4,1867,1418344999.9999993,1867,759692.0192822707,759692.0192822706,500000,500000,5428999.999999905,2021.4,winsor_p99_5
2022,T1,1729,1250449499,1729,723221.2255639097,723221.2255639097,500000,500000,5000000,2022.1,winsor_p99_5
2022,T2,1562,1142479130,1562,731420.6978233034,731420.6978233034,500000,500000,5000000,2022.2,winsor_p99_5
2022,T3,2159,1668765000,2159,772934.2288096341,772934.2288096341,550000,550000,5000000,2022.3,winsor_p99_5
2022,T4,2198,1567476088,2198,713137.4376706097,713137.4376706097,500000,500000,5000000,2022.4,winsor_p99_5
