year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,mediana_pond,mediana_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mediana_pond_real,mediana_simple_real,mean_nominal,mean_real,median_nominal,median_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2010,3,3531,631120971.5842366,1942.2579805254936,324941.88615123194,324941.88615123194,240000,240000,2500000,2010.3,winsor_p99_5,T3,77.42799130180777,0.7742799130180776,NA,NA,NA,419669.78696972254,419669.78696972254,309965.42201966763,309965.42201966763,324941.88615123194,419669.78696972254,240000,309965.42201966763,815106992.9273775,3228806.479371538,400403.3644779474,160322854285.25998,0.9540914712233857,19266.422491775113,FALSE,FALSE,FALSE
2010,4,3719,718729504.4733405,2090.8464418649673,343750.4974455499,343750.4974455499,240000,240000,2500000,2010.4,winsor_p99_5,T4,77.75182675092067,0.7775182675092067,NA,NA,NA,442112.4387813557,442112.4387813557,308674.41966198967,308674.41966198967,343750.4974455499,442112.4387813557,240000,308674.41966198967,924389219.5302407,3215358.5381457256,468583.65104510623,219570638026.76187,1.0598743892768911,-26471.212263750596,FALSE,FALSE,TRUE
2011,1,3543,757093989.3066287,2043.0837038755417,370564.3522438611,370564.3522438611,250000,250000,3100000,2011.1,winsor_p99_5,T1,78.36092612225225,0.7836092612225225,NA,NA,NA,472894.2989593273,472894.2989593273,319036.5560636313,319036.5560636313,370564.3522438611,472894.2989593273,250000,319036.5560636313,966162635.8594501,3956053.295189028,526112.9078243733,276794791779.41754,1.1125380639651639,-53218.608865046095,FALSE,FALSE,TRUE
2011,2,3668,777233677.6252866,2066.4177277088165,376126.1177753544,376126.1177753544,250000,250000,3100000,2011.2,winsor_p99_5,T2,79.32662992626858,0.7932662992626858,NA,NA,NA,474148.6158241576,474148.6158241576,315152.67979033844,315152.67979033844,376126.1177753544,474148.6158241576,250000,315152.67979033844,979789105.3076364,3907893.2294001966,522707.4777334502,273223107278.4653,1.1024127463177096,-48558.86190929259,FALSE,FALSE,TRUE
2011,3,3785,792064223.3203232,2153.6192241311073,367782.8533685601,367782.8533685601,250000,250000,3100000,2011.3,winsor_p99_5,T3,79.8409958257215,0.7984099582572151,NA,NA,NA,460644.12093677255,460644.12093677255,313122.3470029168,313122.3470029168,367782.8533685601,460644.12093677255,250000,313122.3470029168,992052034.3324081,3882717.1028361684,474565.3461156993,225212267733.91348,1.030221215350836,-13921.225178926794,FALSE,FALSE,TRUE
2011,4,3761,822070525.2349377,2180.0617995858192,377085.8814145174,377085.8814145174,250000,250000,3100000,2011.4,winsor_p99_5,T4,80.87177048934181,0.8087177048934181,NA,NA,NA,466276.2780298151,466276.2780298151,309131.3550912649,309131.3550912649,377085.8814145174,466276.2780298151,250000,309131.3550912649,1016511101.7858566,3833228.8031316847,521840.0701559208,272317058820.33633,1.11916495593746,-55563.79212610572,FALSE,FALSE,TRUE
2012,1,3826,865280556.8206289,2222.964267015457,389246.2733925773,389246.2733925773,255000,256000,3748500.000000058,2012.1,winsor_p99_5,T1,81.61171574723825,0.8161171574723824,NA,NA,NA,476949.013788807,476949.013788807,312455.1391490985,313680.45342027146,389246.2733925773,476949.013788807,255000,312455.1391490985,1060240614.8407805,4593090.545491819,536089.5704615199,287392027557.6169,1.1239976495661659,-59140.556672712904,FALSE,FALSE,TRUE
2012,2,3694,877068568.3190275,2169.5969598293304,404254.1469951273,404254.1469951274,270000,270000,3748500.000000058,2012.2,winsor_p99_5,T2,81.7832991991354,0.817832991991354,NA,NA,NA,494299.14292257,494299.14292257006,330140.7532393293,330140.7532393293,404254.1469951273,494299.14292257,270000,330140.7532393293,1072429917.7310517,4583454.124139427,533238.6735007989,284343482916.89154,1.078777256921784,-38939.5305782289,FALSE,FALSE,TRUE
2012,3,3751,941382498.2817477,2234.6740273833275,421261.6635563852,421261.6635563852,280000,280000,3748500.000000058,2012.3,winsor_p99_5,T3,81.94919059540526,0.8194919059540525,NA,NA,NA,514052.2566430383,514052.2566430383,341675.12572808634,341675.12572808634,421261.6635563852,514052.2566430383,280000,341675.12572808634,1148739226.6379862,4574175.745684827,587340.5903644908,344968969089.70856,1.142569812260049,-73288.33372145247,FALSE,FALSE,TRUE
2012,4,3633,932228869.6798576,2169.6651930212975,429664.8499862379,429664.8499862378,300000,300000,3748500.000000058,2012.4,winsor_p99_5,T4,82.63280751928795,0.8263280751928795,NA,NA,NA,519968.8391150773,519968.8391150772,363051.92696009355,363051.92696009355,429664.8499862379,519968.8391150773,300000,363051.92696009355,1128158291.683674,4536333.82736644,625054.385598516,390692984955.9383,1.2020997001710358,-105085.5464834387,FALSE,FALSE,TRUE
2013,1,3518,906196536.1262517,2102.670855283737,430974.0318362706,430974.0318362706,300000,300000,4000000,2013.1,winsor_p99_5,T1,82.81087404544091,0.8281087404544091,NA,NA,NA,520431.69064944505,520431.69064944505,362271.26383834647,362271.26383834647,430974.0318362706,520431.69064944505,300000,362271.26383834647,1094296548.09463,4830283.517844619,582174.2366555677,338926841825.49286,1.1186371758588995,-61742.54600612262,FALSE,FALSE,TRUE
2013,2,3566,1039619064.6514893,2170.5282592773438,478970.52720134606,478970.52720134606,300000,300000,4000000,2013.2,winsor_p99_5,T2,82.82479575667003,0.8282479575667003,NA,NA,NA,578293.6412043897,578293.6412043897,362210.37101179984,362210.37101179984,478970.52720134606,578293.6412043897,300000,362210.37101179984,1255202690.394521,4829471.613490665,648447.2211267273,420483798586.97473,1.1213113458696025,-70153.5799223375,FALSE,FALSE,TRUE
2013,3,3775,1081140016.8303907,2254.2283043265343,479605.3774834437,479605.3774834437,300000,300000,4000000,2013.3,winsor_p99_5,T3,83.675409188943,0.83675409188943,NA,NA,NA,573173.6266750394,573173.6266750394,358528.27360854123,358528.27360854123,479605.3774834437,573173.6266750394,300000,358528.27360854123,1292064212.544364,4780376.981447216,636667.4989145289,405345504174.08167,1.1107759835493745,-63493.872239489465,FALSE,FALSE,TRUE
2013,4,3882,1127779808.0445826,2342.207413315773,481502.9623905204,481502.9623905204,320000,320000,4000000,2013.4,winsor_p99_5,T4,84.53880393130191,0.8453880393130191,NA,NA,NA,569564.4366837746,569564.4366837746,378524.3995881927,378524.3995881927,481502.9623905204,569564.4366837746,320000,378524.3995881927,1334038045.9617589,4731554.994852409,606115.3239975619,367375785984.6695,1.0641734015673465,-36550.88731378738,FALSE,FALSE,TRUE
2014,1,3617,1094252429.040503,2213.3685343265533,494383.2949958529,494383.2949958529,320000,320000,4200000,2014.1,winsor_p99_5,T1,85.64756928743772,0.8564756928743772,NA,NA,NA,577229.8024438694,577229.8024438694,373624.14679401263,373624.14679401263,494383.2949958529,577229.8024438694,320000,373624.14679401263,1277622281.8047931,4903816.9266714165,647580.0295010481,419359894608.5784,1.1218755974818533,-70350.22705717872,FALSE,FALSE,TRUE
2014,2,3540,1065212291.7356491,2166.652979850769,491639.54802259884,491639.54802259884,330000,330000,4200000,2014.2,winsor_p99_5,T2,87.00927324213623,0.8700927324213623,NA,NA,NA,565042.701430715,565042.701430715,379269.91882997355,379269.91882997355,491639.54802259884,565042.701430715,330000,379269.91882997355,1224251452.7977872,4827071.694199664,634382.2201897996,402440801292.9394,1.122715537398348,-69339.51875908447,FALSE,FALSE,TRUE
2014,3,3565,1080531721.8657434,2218.510864675045,487052.70687237027,487052.70687237027,350000,350000,4200000,2014.3,winsor_p99_5,T3,87.77286920975826,0.8777286920975825,NA,NA,NA,554901.2026807728,554901.2026807728,398756.47583489085,398756.47583489085,487052.70687237027,554901.2026807728,350000,398756.47583489085,1231054346.9685438,4785077.71001869,564474.3346413077,318631274468.747,1.017251957491327,-9573.13196053493,FALSE,FALSE,TRUE
2014,4,3528,1159108307.4022613,2204.5392651557922,525782.5640589569,525782.5640589569,350000,350000,4200000,2014.4,winsor_p99_5,T4,89.1676892351341,0.8916768923513411,NA,NA,NA,589655.9264561345,589655.9264561345,392518.863057059,392518.863057059,525782.5640589569,589655.9264561345,350000,392518.863057059,1299919642.8043647,4710226.356684708,661431.9135758167,437492176296.5666,1.1217252026127507,-71775.98711968218,FALSE,FALSE,TRUE
