h,irf,lower,upper,impulse,response,relation,ci,ci_label,ci_tag,tag,wage_col,p_used,block,block_title
12,0.0018474988960376067,-0.0012205195982557145,0.005516065271145423,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
0,0,0,0,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
1,0.004089492472904304,-0.00712882774967557,0.013582391738473549,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
2,0.004792143267250524,-0.004716313671156094,0.013490877472163853,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
3,0.005166686810611096,-0.005299752609769774,0.01413680328255898,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
4,0.0010964876589849573,-0.008437527308314445,0.010150295571088297,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
5,-0.011202950527014302,-0.020429902806280247,-7.66011622590163e-4,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
6,-0.0041552421749252305,-0.012214012758889906,0.0042960113825845445,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
7,9.303828820498343e-4,-0.005627618184807778,0.007749807095446794,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
8,7.882818166521879e-4,-0.005983686440217819,0.007378771636128944,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
9,-0.005440968692567747,-0.010095551728836154,0.0015379526653732894,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
10,-0.002546677933946552,-0.0069080867149799025,0.0024326842580244387,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
11,-8.675933279516498e-4,-0.004926459918479525,0.004293395648824423,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
12,0.0018474988960376067,-0.0022493993716443945,0.005955270582667738,ga,gw,ga -> gw,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
0,-0.013518036611710924,-0.017145977318479305,-0.004105788012237885,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
1,-0.015659109002032778,-0.01853812423848216,-0.006086776152565398,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
2,-0.008756586176562303,-0.010485857591738897,-0.0026112684248505136,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
3,-0.00550169501221264,-0.0073652330804789305,-5.170189571154464e-4,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
4,-0.005536004364627551,-0.007289334030740998,-3.7487700241615497e-4,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
5,-0.00469004176583439,-0.005461193328506943,-2.4901330944422835e-4,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
6,-7.203694679568487e-4,-0.0018798144597717446,0.002850607997903565,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
7,7.925691699690531e-4,-8.111207203937704e-4,0.003921608546992501,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
8,9.69610831095746e-4,-4.3106110920046437e-4,0.0037354797693608926,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
9,-3.952564243503528e-4,-0.0014938060157390328,0.002296234847753291,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
10,1.3626055451156963e-5,-0.001134440317463946,0.002028645202972313,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
11,-2.0346705773208407e-4,-0.001329020848774025,0.0013764615878226055,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
12,-1.41349397448553e-4,-0.0012338680671215164,0.0010898005346996339,ga,v,ga -> v,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
0,-0.013518036611710924,-0.020125597722736803,-0.003249335290585207,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
1,-0.015659109002032778,-0.022314809054162835,-0.0048039572340847336,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
2,-0.008756586176562303,-0.013809065378810966,-0.0011960233120387638,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
3,-0.00550169501221264,-0.010364028036326495,0.0010078850901449241,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
4,-0.005536004364627551,-0.010359141651649445,0.001119912554864389,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
5,-0.00469004176583439,-0.00842448457122524,0.0011418554708153,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
6,-7.203694679568487e-4,-0.004223046220353151,0.0048553133871709585,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
7,7.925691699690531e-4,-0.0026311929975466985,0.00614111817288989,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
8,9.69610831095746e-4,-0.0021031498890233947,0.005565048364488342,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
9,-3.952564243503528e-4,-0.003073513761277683,0.003950986386874447,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
10,1.3626055451156963e-5,-0.002738283867680689,0.0037343507049045644,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
11,-2.0346705773208407e-4,-0.0025267951625038455,0.0029390440705197064,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
12,-1.41349397448553e-4,-0.0025777829092191204,0.0022696025816728604,ga,v,ga -> v,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
0,-0.013518036611710924,-0.021612800617759897,-0.0023645332886666173,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
1,-0.015659109002032778,-0.023698140998901083,-0.004129284078010572,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
2,-0.008756586176562303,-0.01637326664094244,-5.254830530788541e-4,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
3,-0.00550169501221264,-0.01285998535559371,0.0014425776168447385,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
4,-0.005536004364627551,-0.012826299349989962,0.0019090897449481478,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
5,-0.00469004176583439,-0.009957157338970797,0.0020860198857434687,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
6,-7.203694679568487e-4,-0.005787041198840267,0.005778561279367377,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
7,7.925691699690531e-4,-0.004110865918575574,0.007301266690700863,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
8,9.69610831095746e-4,-0.0034877871233094425,0.006563742903429348,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
9,-3.952564243503528e-4,-0.004053482270722498,0.0049211976838482285,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
10,1.3626055451156963e-5,-0.00343144913893982,0.004833678109290006,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
11,-2.0346705773208407e-4,-0.0034430260859390134,0.004115305532598484,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
12,-1.41349397448553e-4,-0.003367015012737515,0.003083596630873367,ga,v,ga -> v,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
0,0,0,0,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
1,0.004055117885350964,-0.0021217136081191786,0.00960180390980822,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
2,-0.01060120813041066,-0.015436185380989339,-0.003447782791138195,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
3,0.012376771993586519,0.0041423482474090955,0.018508927623041977,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
4,0.0014749258129561859,-0.006270977505552029,0.007871508307602484,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
5,-0.0026376134784994202,-0.00861342281620141,0.0030395914421638068,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
6,-0.00410946733047372,-0.009007793464338202,0.0029101795867789533,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
7,0.0021812044815720617,-0.003027085563104842,0.00745081168750872,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
8,0.004138902430595393,-0.001290421992060249,0.008061929590419226,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
9,0.003545846363555991,-0.0011664295916279312,0.0067390017028040655,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
10,-0.0019754803793553865,-0.005557943848653036,0.0016089294077804128,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
11,-3.4506254251810963e-4,-0.0037087351836306557,0.0027345349089860174,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
12,5.270382205556808e-4,-0.0024886255941461914,0.0030592710029249633,gw,ga,gw -> ga,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
0,0,0,0,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
1,0.004055117885350964,-0.0067414858613112595,0.015045876821259766,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
2,-0.01060120813041066,-0.02035047005201208,3.0594173957416374e-4,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
3,0.012376771993586519,-0.0013380053719535727,0.02356163475881307,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
4,0.0014749258129561859,-0.010956517329138483,0.012503430767518524,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
5,-0.0026376134784994202,-0.013625030476815821,0.007776748245291338,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
6,-0.00410946733047372,-0.013044715193899558,0.006369579669472674,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
7,0.0021812044815720617,-0.006877137373797205,0.011179911091466606,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
8,0.004138902430595393,-0.004290065021599047,0.012272209116326501,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
9,0.003545846363555991,-0.0038624316649445048,0.00986777485845401,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
10,-0.0019754803793553865,-0.008625270244081808,0.003913823694494124,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
11,-3.4506254251810963e-4,-0.006592309059356118,0.005218764140568525,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
12,5.270382205556808e-4,-0.004777755246737142,0.005522450910603128,gw,ga,gw -> ga,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
0,0,0,0,gw,ga,gw -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
1,0.004055117885350964,-0.010167844374381414,0.016009566023472168,gw,ga,gw -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
2,-0.01060120813041066,-0.022131752709397788,0.003065037184970033,gw,ga,gw -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
3,0.012376771993586519,-0.0025977061480652935,0.025464048610580416,gw,ga,gw -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
4,0.0014749258129561859,-0.013327286937962878,0.015724788589435223,gw,ga,gw -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
5,-0.0026376134784994202,-0.015543608959077556,0.010524603618350573,gw,ga,gw -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_gw,Shock salarial
